Date,Adj Close
2012-05-18,38.22999954223633
2012-05-21,34.029998779296875
2012-05-22,31.0
2012-05-23,32.0
2012-05-24,33.029998779296875
2012-05-25,31.90999984741211
2012-05-29,28.84000015258789
2012-05-30,28.190000534057617
2012-05-31,29.600000381469727
2012-06-01,27.71999931335449
2012-06-04,26.899999618530277
2012-06-05,25.8700008392334
2012-06-06,26.809999465942383
2012-06-07,26.309999465942383
2012-06-08,27.100000381469727
2012-06-11,27.01000022888184
2012-06-12,27.399999618530277
2012-06-13,27.270000457763672
2012-06-14,28.290000915527344
2012-06-15,30.01000022888184
2012-06-18,31.40999984741211
2012-06-19,31.90999984741211
2012-06-20,31.600000381469727
2012-06-21,31.84000015258789
2012-06-22,33.04999923706055
2012-06-25,32.060001373291016
2012-06-26,33.099998474121094
2012-06-27,32.22999954223633
2012-06-28,31.36000061035156
2012-06-29,31.100000381469727
2012-07-02,30.770000457763672
2012-07-03,31.200000762939453
2012-07-05,31.46999931335449
2012-07-06,31.729999542236328
2012-07-09,32.16999816894531
2012-07-10,31.46999931335449
2012-07-11,30.96999931335449
2012-07-12,30.809999465942383
2012-07-13,30.71999931335449
2012-07-16,28.25
2012-07-17,28.09000015258789
2012-07-18,29.11000061035156
2012-07-19,29.0
2012-07-20,28.76000022888184
2012-07-23,28.75
2012-07-24,28.450000762939453
2012-07-25,29.34000015258789
2012-07-26,26.850000381469727
2012-07-27,23.709999084472656
2012-07-30,23.149999618530277
2012-07-31,21.709999084472656
2012-08-01,20.8799991607666
2012-08-02,20.040000915527344
2012-08-03,21.09000015258789
2012-08-06,21.920000076293945
2012-08-07,20.71999931335449
2012-08-08,20.71999931335449
2012-08-09,21.01000022888184
2012-08-10,21.809999465942383
2012-08-13,21.600000381469727
2012-08-14,20.3799991607666
2012-08-15,21.200000762939453
2012-08-16,19.8700008392334
2012-08-17,19.049999237060547
2012-08-20,20.01000022888184
2012-08-21,19.15999984741211
2012-08-22,19.440000534057617
2012-08-23,19.440000534057617
2012-08-24,19.40999984741211
2012-08-27,19.149999618530277
2012-08-28,19.34000015258789
2012-08-29,19.100000381469727
2012-08-30,19.09000015258789
2012-08-31,18.059999465942383
2012-09-04,17.729999542236328
2012-09-05,18.57999992370605
2012-09-06,18.959999084472656
2012-09-07,18.979999542236328
2012-09-10,18.809999465942383
2012-09-11,19.43000030517578
2012-09-12,20.93000030517578
2012-09-13,20.709999084472656
2012-09-14,22.0
2012-09-17,21.520000457763672
2012-09-18,21.8700008392334
2012-09-19,23.290000915527344
2012-09-20,22.59000015258789
2012-09-21,22.86000061035156
2012-09-24,20.790000915527344
2012-09-25,20.280000686645508
2012-09-26,20.6200008392334
2012-09-27,20.31999969482422
2012-09-28,21.65999984741211
2012-10-01,21.989999771118164
2012-10-02,22.270000457763672
2012-10-03,21.82999992370605
2012-10-04,21.950000762939453
2012-10-05,20.90999984741211
2012-10-08,20.399999618530277
2012-10-09,20.229999542236328
2012-10-10,19.63999938964844
2012-10-11,19.75
2012-10-12,19.520000457763672
2012-10-15,19.520000457763672
2012-10-16,19.479999542236328
2012-10-17,19.8799991607666
2012-10-18,18.979999542236328
2012-10-19,19.0
2012-10-22,19.31999969482422
2012-10-23,19.5
2012-10-24,23.229999542236328
2012-10-25,22.559999465942383
2012-10-26,21.940000534057617
2012-10-31,21.11000061035156
2012-11-01,21.209999084472656
2012-11-02,21.18000030517578
2012-11-05,21.25
2012-11-06,21.170000076293945
2012-11-07,20.46999931335449
2012-11-08,19.989999771118164
2012-11-09,19.209999084472656
2012-11-12,20.06999969482422
2012-11-13,19.86000061035156
2012-11-14,22.36000061035156
2012-11-15,22.170000076293945
2012-11-16,23.559999465942383
2012-11-19,22.920000076293945
2012-11-20,23.100000381469727
2012-11-21,24.31999969482422
2012-11-23,24.0
2012-11-26,25.940000534057617
2012-11-27,26.149999618530277
2012-11-28,26.36000061035156
2012-11-29,27.31999969482422
2012-11-30,28.0
2012-12-03,27.040000915527344
2012-12-04,27.459999084472656
2012-12-05,27.709999084472656
2012-12-06,26.96999931335449
2012-12-07,27.489999771118164
2012-12-10,27.84000015258789
2012-12-11,27.979999542236328
2012-12-12,27.57999992370605
2012-12-13,28.239999771118164
2012-12-14,26.809999465942383
2012-12-17,26.75
2012-12-18,27.709999084472656
2012-12-19,27.40999984741211
2012-12-20,27.36000061035156
2012-12-21,26.26000022888184
2012-12-24,26.93000030517578
2012-12-26,26.51000022888184
2012-12-27,26.049999237060547
2012-12-28,25.90999984741211
2012-12-31,26.6200008392334
2013-01-02,28.0
2013-01-03,27.770000457763672
2013-01-04,28.76000022888184
2013-01-07,29.420000076293945
2013-01-08,29.059999465942383
2013-01-09,30.59000015258789
2013-01-10,31.299999237060547
2013-01-11,31.71999931335449
2013-01-14,30.950000762939453
2013-01-15,30.100000381469727
2013-01-16,29.850000381469727
2013-01-17,30.13999938964844
2013-01-18,29.65999984741211
2013-01-22,30.729999542236328
2013-01-23,30.81999969482422
2013-01-24,31.07999992370605
2013-01-25,31.540000915527344
2013-01-28,32.470001220703125
2013-01-29,30.790000915527344
2013-01-30,31.239999771118164
2013-01-31,30.979999542236328
2013-02-01,29.729999542236328
2013-02-04,28.11000061035156
2013-02-05,28.63999938964844
2013-02-06,29.049999237060547
2013-02-07,28.649999618530277
2013-02-08,28.549999237060547
2013-02-11,28.26000022888184
2013-02-12,27.3700008392334
2013-02-13,27.90999984741211
2013-02-14,28.5
2013-02-15,28.31999969482422
2013-02-19,28.93000030517578
2013-02-20,28.459999084472656
2013-02-21,27.280000686645508
2013-02-22,27.1299991607666
2013-02-25,27.270000457763672
2013-02-26,27.38999938964844
2013-02-27,26.8700008392334
2013-02-28,27.25
2013-03-01,27.780000686645508
2013-03-04,27.71999931335449
2013-03-05,27.520000457763672
2013-03-06,27.450000762939453
2013-03-07,28.57999992370605
2013-03-08,27.959999084472656
2013-03-11,28.13999938964844
2013-03-12,27.82999992370605
2013-03-13,27.07999992370605
2013-03-14,27.040000915527344
2013-03-15,26.649999618530277
2013-03-18,26.489999771118164
2013-03-19,26.549999237060547
2013-03-20,25.86000061035156
2013-03-21,25.739999771118164
2013-03-22,25.729999542236328
2013-03-25,25.1299991607666
2013-03-26,25.209999084472656
2013-03-27,26.09000015258789
2013-03-28,25.57999992370605
2013-04-01,25.530000686645508
2013-04-02,25.420000076293945
2013-04-03,26.25
