Date,Adj Close
2014-10-20,28.25
2014-10-21,28.309999465942383
2014-10-22,28.75
2014-10-23,29.25
2014-10-24,29.75
2014-10-27,30.100000381469727
2014-10-28,30.649999618530277
2014-10-29,30.0
2014-10-30,30.25
2014-10-31,31.5
2014-11-03,30.61000061035156
2014-11-04,30.15999984741211
2014-11-05,30.18000030517578
2014-11-06,30.049999237060547
2014-11-07,29.76000022888184
2014-11-10,29.780000686645508
2014-11-11,30.040000915527344
2014-11-12,30.82999992370605
2014-11-13,30.40999984741211
2014-11-14,30.700000762939453
2014-11-17,31.049999237060547
2014-11-18,31.0
2014-11-19,30.96999931335449
2014-11-20,31.40999984741211
2014-11-21,32.29999923706055
2014-11-24,33.0
2014-11-25,32.849998474121094
2014-11-26,34.20000076293945
2014-11-28,35.20000076293945
2014-12-01,34.900001525878906
2014-12-02,34.779998779296875
2014-12-03,34.310001373291016
2014-12-04,34.13999938964844
2014-12-05,34.099998474121094
2014-12-08,34.189998626708984
2014-12-09,33.75
2014-12-10,33.470001220703125
2014-12-11,33.4900016784668
2014-12-12,32.86000061035156
2014-12-15,32.880001068115234
2014-12-16,32.88999938964844
2014-12-17,33.83000183105469
2014-12-18,34.11000061035156
2014-12-19,33.97999954223633
2014-12-22,33.939998626708984
2014-12-23,33.630001068115234
2014-12-24,33.79999923706055
2014-12-26,33.72999954223633
2014-12-29,33.90999984741211
2014-12-30,33.880001068115234
2014-12-31,33.77000045776367
2015-01-02,33.41999816894531
2015-01-05,33.540000915527344
2015-01-06,33.61000061035156
2015-01-07,33.880001068115234
2015-01-08,34.119998931884766
2015-01-09,33.959999084472656
2015-01-12,34.459999084472656
2015-01-13,34.689998626708984
2015-01-14,34.93000030517578
2015-01-15,34.470001220703125
2015-01-16,34.959999084472656
2015-01-20,34.91999816894531
2015-01-21,35.7400016784668
2015-01-22,35.779998779296875
2015-01-23,34.869998931884766
2015-01-26,34.33000183105469
2015-01-27,33.72999954223633
2015-01-28,33.34000015258789
2015-01-29,33.68000030517578
2015-01-30,33.38999938964844
2015-02-02,34.33000183105469
2015-02-03,34.04999923706055
2015-02-04,34.209999084472656
2015-02-05,34.61000061035156
2015-02-06,35.08000183105469
2015-02-09,34.970001220703125
2015-02-10,35.7599983215332
2015-02-11,35.56999969482422
2015-02-12,36.220001220703125
2015-02-13,36.4900016784668
2015-02-17,36.52000045776367
2015-02-18,36.5
2015-02-19,37.310001373291016
2015-02-20,37.29999923706055
2015-02-23,36.68999862670898
2015-02-24,37.59000015258789
2015-02-25,37.29999923706055
2015-02-26,37.43999862670898
2015-02-27,37.540000915527344
2015-03-02,37.880001068115234
2015-03-03,37.52999877929688
2015-03-04,37.68000030517578
2015-03-05,37.34000015258789
2015-03-06,37.130001068115234
2015-03-09,37.38999938964844
2015-03-10,36.77000045776367
2015-03-11,37.2400016784668
2015-03-12,37.33000183105469
2015-03-13,37.25
2015-03-16,37.93999862670898
2015-03-17,38.18999862670898
2015-03-18,38.720001220703125
2015-03-19,38.720001220703125
2015-03-20,38.7400016784668
2015-03-23,38.88999938964844
2015-03-24,38.68000030517578
2015-03-25,37.2599983215332
2015-03-26,36.720001220703125
2015-03-27,36.27000045776367
2015-03-30,36.119998931884766
2015-03-31,37.150001525878906
2015-04-01,36.61000061035156
2015-04-02,36.790000915527344
2015-04-06,36.72999954223633
2015-04-07,36.380001068115234
2015-04-08,36.4900016784668
2015-04-09,37.18000030517578
2015-04-10,37.04999923706055
2015-04-13,36.59000015258789
2015-04-14,36.150001525878906
2015-04-15,36.18999862670898
2015-04-16,36.06999969482422
2015-04-17,35.36000061035156
2015-04-20,36.130001068115234
2015-04-21,36.209999084472656
