Date,Adj Close
2012-03-30,7.340000152587891
2012-04-02,7.809999942779541
2012-04-03,7.639999866485596
2012-04-04,7.449999809265137
2012-04-05,7.429999828338623
2012-04-09,6.980000019073486
2012-04-10,7.070000171661377
2012-04-11,7.130000114440918
2012-04-12,7.300000190734863
2012-04-13,7.099999904632568
2012-04-16,7.159999847412109
2012-04-17,7.0
2012-04-18,7.289999961853027
2012-04-19,7.039999961853027
2012-04-20,7.019999980926514
2012-04-23,6.980000019073486
2012-04-24,6.909999847412109
2012-04-25,6.880000114440918
2012-04-26,6.860000133514404
2012-04-27,6.75
2012-04-30,7.28000020980835
2012-05-01,7.920000076293945
2012-05-02,8.0
2012-05-03,8.819999694824219
2012-05-04,8.359999656677246
2012-05-07,8.34000015258789
2012-05-08,8.479999542236328
2012-05-09,8.649999618530273
2012-05-10,8.600000381469727
2012-05-11,8.430000305175781
2012-05-14,8.220000267028809
2012-05-15,8.399999618530273
2012-05-16,8.319999694824219
2012-05-17,8.40999984741211
2012-05-18,7.989999771118164
2012-05-21,8.100000381469727
2012-05-22,7.989999771118164
2012-05-23,7.900000095367432
2012-05-24,7.849999904632568
2012-05-25,7.789999961853027
2012-05-29,7.800000190734863
2012-05-30,7.010000228881836
2012-05-31,6.900000095367432
2012-06-01,5.949999809265137
2012-06-04,4.960000038146973
2012-06-05,5.329999923706055
2012-06-06,6.690000057220459
2012-06-07,6.599999904632568
2012-06-08,6.980000019073486
2012-06-11,6.449999809265137
2012-06-12,7.079999923706055
2012-06-13,7.019999980926514
2012-06-14,7.239999771118164
2012-06-15,7.010000228881836
2012-06-18,6.949999809265137
2012-06-19,7.0
2012-06-20,6.800000190734863
2012-06-21,6.599999904632568
2012-06-22,6.610000133514404
2012-06-25,6.28000020980835
2012-06-26,5.989999771118164
2012-06-27,5.849999904632568
2012-06-28,6.289999961853027
2012-06-29,6.21999979019165
2012-07-02,6.190000057220459
2012-07-03,6.190000057220459
2012-07-05,6.190000057220459
2012-07-06,6.239999771118164
2012-07-09,6.199999809265137
2012-07-10,5.809999942779541
2012-07-11,5.739999771118164
2012-07-12,5.489999771118164
2012-07-13,6.039999961853027
2012-07-16,5.670000076293945
2012-07-17,5.650000095367432
2012-07-18,5.96999979019165
2012-07-19,5.880000114440918
2012-07-20,6.099999904632568
2012-07-23,6.210000038146973
2012-07-24,5.829999923706055
2012-07-25,5.760000228881836
2012-07-26,5.869999885559082
2012-07-27,5.840000152587891
2012-07-30,5.900000095367432
2012-07-31,5.809999942779541
2012-08-01,5.639999866485596
2012-08-02,5.78000020980835
2012-08-03,6.03000020980835
2012-08-06,6.329999923706055
2012-08-07,6.670000076293945
2012-08-08,5.070000171661377
2012-08-09,5.559999942779541
2012-08-10,5.630000114440918
2012-08-13,5.070000171661377
2012-08-14,5.170000076293945
2012-08-15,5.039999961853027
2012-08-16,5.059999942779541
2012-08-17,5.260000228881836
2012-08-20,5.230000019073486
2012-08-21,5.139999866485596
2012-08-22,5.0
2012-08-23,4.96999979019165
2012-08-24,4.940000057220459
2012-08-27,5.099999904632568
2012-08-28,5.010000228881836
2012-08-29,5.110000133514404
2012-08-30,4.900000095367432
2012-08-31,4.960000038146973
2012-09-04,4.960000038146973
2012-09-05,5.28000020980835
2012-09-06,4.980000019073486
2012-09-07,4.53000020980835
2012-09-10,4.610000133514404
2012-09-11,4.679999828338623
2012-09-12,4.840000152587891
2012-09-13,4.900000095367432
2012-09-14,5.21999979019165
2012-09-17,4.989999771118164
2012-09-18,4.96999979019165
2012-09-19,5.110000133514404
2012-09-20,5.119999885559082
2012-09-21,5.110000133514404
2012-09-24,4.880000114440918
2012-09-25,4.75
2012-09-26,4.75
2012-09-27,4.599999904632568
2012-09-28,4.139999866485596
2012-10-01,3.890000104904175
2012-10-02,3.839999914169312
2012-10-03,3.940000057220459
2012-10-04,3.849999904632568
2012-10-05,3.650000095367432
2012-10-08,3.640000104904175
2012-10-09,3.3299999237060547
2012-10-10,3.150000095367432
2012-10-11,3.319999933242798
2012-10-12,3.630000114440918
2012-10-15,3.799999952316284
2012-10-16,3.619999885559082
2012-10-17,3.759999990463257
2012-10-18,3.700000047683716
2012-10-19,3.700000047683716
2012-10-22,3.509999990463257
2012-10-23,3.4200000762939453
2012-10-24,3.490000009536743
2012-10-25,3.640000104904175
2012-10-26,3.509999990463257
2012-10-31,3.670000076293945
2012-11-01,3.5
2012-11-02,3.3299999237060547
2012-11-05,3.430000066757202
2012-11-06,3.5199999809265137
2012-11-07,3.2799999713897705
2012-11-08,2.450000047683716
2012-11-09,2.650000095367432
2012-11-12,2.4200000762939453
2012-11-13,2.2100000381469727
2012-11-14,2.109999895095825
2012-11-15,2.0
2012-11-16,1.9900000095367432
2012-11-19,2.220000028610229
2012-11-20,2.5899999141693115
2012-11-21,2.7300000190734863
2012-11-23,2.5799999237060547
2012-11-26,2.809999942779541
2012-11-27,2.7100000381469727
2012-11-28,2.5799999237060547
2012-11-29,2.5999999046325684
2012-11-30,2.789999961853028
2012-12-03,2.9800000190734863
2012-12-04,2.880000114440918
2012-12-05,2.799999952316284
2012-12-06,2.720000028610229
2012-12-07,2.6700000762939453
2012-12-10,2.539999961853028
2012-12-11,2.9100000858306885
2012-12-12,3.0299999713897705
2012-12-13,2.950000047683716
2012-12-14,3.220000028610229
2012-12-17,3.3499999046325684
2012-12-18,3.380000114440918
2012-12-19,3.180000066757202
2012-12-20,3.150000095367432
2012-12-21,3.0299999713897705
2012-12-24,3.0899999141693115
2012-12-26,3.0299999713897705
2012-12-27,3.509999990463257
2012-12-28,3.5999999046325684
2012-12-31,3.650000095367432
2013-01-02,3.7899999618530273
2013-01-03,3.7300000190734863
2013-01-04,3.900000095367432
2013-01-07,3.75
2013-01-08,3.7100000381469727
2013-01-09,3.75
2013-01-10,3.7200000286102295
2013-01-11,3.7799999713897705
2013-01-14,3.7799999713897705
2013-01-15,3.839999914169312
2013-01-16,3.849999904632568
2013-01-17,3.910000085830689
